price,m2_real,room_num,bath_num,loc_city,loc_district,house_type,balcony,garage,swimming_pool,terrace,storage_room,lift,garden,price_m2,is_needs_renovating,is_new_development
375000,650,3,2,Gines,Desconocido, Casa o chalet independiente,0,1,0,1,1,0,1,576.9230769230769,0,0
375000,307,4,2,Almadén de la Plata,"Calle Huerta del Pilar, 25", Casa de pueblo,1,1,0,1,1,0,0,1221.498371335505,0,0
373068,550,3,2,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,1,0,1,0,0,1,678.3054545454545,0,0
372000,607,4,3,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,0,1,0,1,0,1,612.8500823723228,0,0
370000,525,4,4,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,1,1,1,0,1,704.7619047619048,0,0
370000,610,4,3,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,1,1,0,1,0,1,606.5573770491803,0,0
370000,300,5,2,Espartinas,Distrito Ramal de Espartinas, Casa o chalet,0,1,0,0,0,0,0,1233.3333333333333,0,0
370000,610,5,3,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,1,1,1,0,1,0,1,606.5573770491803,0,0
370000,110,3,2,Sevilla,Distrito Bellavista - Jardines de Hércules,Piso,1,0,1,1,0,1,1,3363.6363636363635,0,0
370000,550,3,2,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,1,0,1,1,0,1,672.7272727272727,0,0
368000,570,5,3,Espartinas,Distrito Zona Colegio Europa, Casa o chalet independiente,0,1,1,1,1,0,1,645.6140350877193,0,0
368000,670,5,3,Espartinas,Distrito Zona Colegio Europa, Casa o chalet independiente,0,1,1,1,1,0,1,549.2537313432836,0,0
365000,263,5,4,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Chalet pareado,0,1,0,0,0,0,0,1387.8326996197718,0,0
365000,788,4,3,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet,0,0,1,1,1,0,0,463.1979695431472,0,0
365000,289,5,4,Tomares,Distrito Hacienda la Cartuja, Casa o chalet independiente,0,0,0,0,1,0,0,1262.9757785467127,0,0
362705,495,5,3,Sanlúcar la Mayor,Desconocido, Casa o chalet,0,0,0,0,0,0,0,732.7373737373738,0,0
360000,230,0,0,Dos Hermanas,Distrito Centro - Doña Mercedes, Chalet adosado,1,0,0,1,0,0,1,1565.2173913043478,1,0
360000,610,5,3,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,1,0,1,0,1,590.1639344262295,0,0
360000,607,5,3,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,1,0,1,0,1,593.0807248764415,0,0
360000,211,5,3,Mairena del Aljarafe,Distrito Lepanto, Casa o chalet,1,0,0,1,0,0,0,1706.1611374407582,0,0
360000,535,4,3,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,1,1,0,1,0,1,672.8971962616822,0,0
360000,300,4,4,Cazalla de la Sierra,"Calle diseminado cazalla, 314", Casa o chalet independiente,0,0,0,0,0,0,0,1200.0,0,0
360000,200,3,3,El Pedroso,Calle Nueva s/n, Casa rural,0,1,0,1,1,0,1,1800.0,0,0
360000,380,4,4,Dos Hermanas,Distrito Centro - Doña Mercedes, Casa o chalet independiente,0,1,0,1,1,0,0,947.3684210526316,0,0
360000,279,5,4,Mairena del Aljarafe,Distrito Ciudad Expo, Chalet adosado,0,1,1,1,1,0,1,1290.3225806451612,0,0
360000,216,5,4,Mairena del Aljarafe,Distrito Casco Antiguo, Casa o chalet independiente,0,1,1,0,0,0,0,1666.6666666666667,0,0
360000,470,5,3,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,1,1,1,0,1,765.9574468085107,0,0
360000,500,4,3,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,1,0,1,1,1,0,1,720.0,0,0
360000,590,4,2,Sanlúcar la Mayor,Urb. La Granja, Casa o chalet independiente,0,1,1,1,1,0,1,610.1694915254237,0,0
360000,476,4,3,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,1,1,1,1,1,0,1,756.3025210084033,0,0
360000,733,4,2,Tomares,Distrito Las Almenas, Casa o chalet independiente,0,1,1,1,1,0,1,491.13233287858117,0,0
360000,150,4,3,Tomares,Distrito Hacienda la Cartuja, Casa o chalet independiente,0,1,0,1,1,0,0,2400.0,0,0
